,sym_1,sym_2,p_value,t_value,c_value,hede_ratio,zero_crossings
836,SXPUSDT,XEMUSDT,0.0,-4.24,-3.37,8.28,53
8,1000BTTUSDT,BNBUSDT,0.02,-3.63,-3.37,0.0,53
576,RSS3USDT,JSTUSDT,0.01,-3.94,-3.37,4.17,52
60,1000XECUSDT,STMXUSDT,0.0,-4.49,-3.37,5.6,47
520,RSS3USDT,CELUSDT,0.01,-3.98,-3.37,0.13,45
322,CEEKUSDT,YGGUSDT,0.0,-4.29,-3.37,0.46,45
832,SXPUSDT,SANDUSDT,0.0,-4.61,-3.37,0.42,44
1030,YGGUSDT,ASTRUSDT,0.0,-4.44,-3.37,7.74,44
874,UNFIUSDT,RUNEUSDT,0.01,-3.98,-3.37,3.77,43
21,1000BTTUSDT,OMGUSDT,0.02,-3.72,-3.37,0.0,43
912,VETUSDT,SLPUSDT,0.0,-5.25,-3.37,7.02,43
9,1000BTTUSDT,BOBAUSDT,0.04,-3.4,-3.37,0.0,43
300,CEEKUSDT,COMPUSDT,0.0,-5.98,-3.37,0.0,42
297,CEEKUSDT,BELUSDT,0.04,-3.41,-3.37,0.24,42
298,CEEKUSDT,BLZUSDT,0.03,-3.55,-3.37,1.7,42
320,CEEKUSDT,TLMUSDT,0.0,-4.62,-3.37,6.28,42
695,STXUSDT,1000XECUSDT,0.0,-4.55,-3.37,8.23,42
1058,ZRXUSDT,AUDIOUSDT,0.02,-3.62,-3.37,1.34,42
993,XNOUSDT,LUNA2USDT,0.0,-4.73,-3.37,0.3,42
1042,YGGUSDT,BSVUSDT,0.0,-4.5,-3.37,0.01,41
824,SXPUSDT,GALAUSDT,0.0,-4.4,-3.37,9.31,41
302,CEEKUSDT,CTSIUSDT,0.02,-3.76,-3.37,0.98,41
531,RSS3USDT,CTSIUSDT,0.01,-4.08,-3.37,0.91,41
11,1000BTTUSDT,CROUSDT,0.03,-3.59,-3.37,0.01,41
5,1000BTTUSDT,BANDUSDT,0.01,-3.86,-3.37,0.0,40
2,1000BTTUSDT,1INCHUSDT,0.01,-3.87,-3.37,0.0,40
312,CEEKUSDT,IOSTUSDT,0.02,-3.7,-3.37,11.58,40
305,CEEKUSDT,DGBUSDT,0.0,-4.16,-3.37,15.07,40
282,BCHUSDT,1000BTTUSDT,0.05,-3.37,-3.37,140481.84,39
913,XEMUSDT,1INCHUSDT,0.01,-3.82,-3.37,0.07,39
392,GTCUSDT,SANDUSDT,0.01,-4.1,-3.37,2.13,39
565,RSS3USDT,HNTUSDT,0.01,-3.99,-3.37,0.03,39
899,VETUSDT,DASHUSDT,0.03,-3.54,-3.37,0.0,39
949,XMRUSDT,CTSIUSDT,0.04,-3.39,-3.37,1086.49,38
324,CEEKUSDT,ZILUSDT,0.03,-3.5,-3.37,4.38,38
981,XMRUSDT,SLPUSDT,0.01,-4.01,-3.37,44591.78,38
112,AGLDUSDT,BOBAUSDT,0.02,-3.7,-3.37,1.12,38
990,XNOUSDT,BSVUSDT,0.02,-3.68,-3.37,0.02,38
992,XNOUSDT,CTSIUSDT,0.01,-4.05,-3.37,5.42,38
35,1000LUNCUSDT,BITUSDT,0.02,-3.73,-3.37,0.55,38
143,ALICEUSDT,DARUSDT,0.03,-3.5,-3.37,8.06,38
440,NEARUSDT,1000BTTUSDT,0.02,-3.61,-3.37,3765.18,38
469,REQUSDT,HOTUSDT,0.03,-3.56,-3.37,56.19,38
308,CEEKUSDT,GLMRUSDT,0.01,-3.79,-3.37,0.28,37
885,UNFIUSDT,ZRXUSDT,0.02,-3.61,-3.37,22.38,37
1039,YGGUSDT,BLZUSDT,0.0,-4.71,-3.37,3.73,37
1015,XRPUSDT,LUNA2USDT,0.04,-3.45,-3.37,0.19,36
831,SXPUSDT,RAYUSDT,0.0,-4.13,-3.37,0.63,36
31,1000BTTUSDT,XTZUSDT,0.02,-3.62,-3.37,0.0,36
132,AGLDUSDT,STMXUSDT,0.01,-3.99,-3.37,47.54,36
694,STXUSDT,1000BTTUSDT,0.03,-3.56,-3.37,388.57,36
54,1000XECUSDT,NEARUSDT,0.0,-4.74,-3.37,0.01,36
861,UNFIUSDT,BNBUSDT,0.01,-3.79,-3.37,0.02,35
470,REQUSDT,LOOKSUSDT,0.0,-4.74,-3.37,0.5,35
151,ALICEUSDT,IOTXUSDT,0.01,-3.79,-3.37,57.83,35
145,ALICEUSDT,DUSKUSDT,0.03,-3.53,-3.37,12.81,35
764,SUNUSDT,FITFIUSDT,0.0,-4.38,-3.37,0.12,35
584,RSS3USDT,LINKUSDT,0.0,-4.13,-3.37,0.02,35
